"id","url","notes","scientific_name","common_name","description","user_login","observed_on","license","family_name","adm0_a3","continent"
294606089,"https://www.inaturalist.org/observations/294606089","","Lasiurus borealis","Eastern Red Bat","","lisa777666","2025-05-28","CC-BY-NC","Vespertilionidae","USA","North America"
294607252,"https://www.inaturalist.org/observations/294607252","","Lasiurus borealis","Eastern Red Bat","","lisa777666","2025-03-31","CC-BY-NC","Vespertilionidae","USA","North America"
12001178,"https://www.inaturalist.org/observations/12001178","founds on ""lights out"" route, at base of building. Carcass age guess at 2-7 days. All rights reserved license",NA,NA,NA,NA,NA,NA,"Vespertilionidae","USA","North America"
31394800,"https://www.inaturalist.org/observations/31394800","All rights reserved license",NA,NA,NA,NA,NA,NA,"Vespertilionidae","USA","North America"
31394813,"https://www.inaturalist.org/observations/31394813","Clinging to building side. All rights reserved license",NA,NA,NA,NA,NA,NA,"Vespertilionidae","USA","North America"
31907704,"https://www.inaturalist.org/observations/31907704","All rights reserved license",NA,NA,NA,NA,NA,NA,"Vespertilionidae","USA","North America"
34495029,"https://www.inaturalist.org/observations/34495029","All rights reserved license",NA,NA,NA,NA,NA,NA,"Vespertilionidae","USA","North America"
41703508,"https://www.inaturalist.org/observations/41703508","All rights reserved license",NA,NA,NA,NA,NA,NA,"Vespertilionidae","USA","North America"
56488687,"https://www.inaturalist.org/observations/56488687","All rights reserved license",NA,NA,NA,NA,NA,NA,"Vespertilionidae","USA","North America"
58257580,"https://www.inaturalist.org/observations/58257580","All rights reserved license",NA,NA,NA,NA,NA,NA,"Vespertilionidae","USA","North America"
59698595,"https://www.inaturalist.org/observations/59698595","grounded red bat on pavement of oceanside condo. Plausible based on location. Individual flew off when approached. All rights reserved license",NA,NA,NA,NA,NA,NA,"Vespertilionidae","USA","North America"
59838429,"https://www.inaturalist.org/observations/59838429","All rights reserved license",NA,NA,NA,NA,NA,NA,"Vespertilionidae","USA","North America"
60463112,"https://www.inaturalist.org/observations/60463112","All rights reserved license",NA,NA,NA,NA,NA,NA,"Vespertilionidae","USA","North America"
74142308,"https://www.inaturalist.org/observations/74142308","All rights reserved license",NA,NA,NA,NA,NA,NA,"Vespertilionidae","USA","North America"
75026364,"https://www.inaturalist.org/observations/75026364","All rights reserved license",NA,NA,NA,NA,NA,NA,"Vespertilionidae","USA","North America"
77245237,"https://www.inaturalist.org/observations/77245237","All rights reserved license",NA,NA,NA,NA,NA,NA,"Vespertilionidae","USA","North America"
95847679,"https://www.inaturalist.org/observations/95847679","All rights reserved license",NA,NA,NA,NA,NA,NA,"Vespertilionidae","USA","North America"
96998245,"https://www.inaturalist.org/observations/96998245","Ambigious due to broad location. All rights reserved license",NA,NA,NA,NA,NA,NA,"Vespertilionidae","USA","North America"
